Country,Code,ContinentCode,Year,Exports of goods and services as percent of GDP,Imports of goods and services as percent of GDP,Government spending as percent of GDP,Government debt as percent of GDP,Tax revenue percent of GDP,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) ,Quality of roads 1(low) - 7(high),Quality of railroad infrastructure 1(low) - 7(high),Quality of port infrastructure 1(low) - 7(high),Quality of air transport infrastructure 1(low) - 7(high),Human rights and rule of law index 0 (high) - 10 (low),External interventions index 0 (low) - 10 (high),GDP per capita constant 2010 dollars,Economic growth forecast,Income from natural resources percent of GDP,Revenue minus production cost of oil percent of GDP,Revenue minus production cost of natural gas percent of GDP,Innovations index (0-100),Property rights index (0-100),Freedom from corruption index (0-100),Business freedom index (0-100),Trade freedom index (0-100),Economic freedom overall index (0-100),Health spending as percent of GDP,Gini income inequality index,Poverty percent of population,Percent income earned by the top 10 percent of earners,Globalization index (0-100),Economic globalization index (0-100),Military spending percent of GDP,Human Development Index (0 - 1),GDP per capita constant 2010 dollars,Fragile state index 0 (low) - 120 (high),Factionalized elites index 0 (low) - 10 (high),Economic decline index 0 (low) - 10 (high),Uneven economic development index 0 (low) - 10 (high),External interventions index 0 (low) - 10 (high),,,,,,,,,,,,Revenue minus production cost of oil percent of GDP,Gini income inequality index,Poverty percent of population,Percent income earned by the top 10 percent of earners
Canada,CAN,NA,2018,32.08,34.04,20.95,83.62,12.91,1.76,1.72,1.83,1.71,1.53,0.99,81,1,1,5.2,4.3,5.1,5.4,1.3,0.7,51476.2,2.43,2.47,1.76,0.07,53,88,78,82,88,78,10.79,,,,84.18,70.98,1.33,0.922,51476.2,21.5,2.5,1.8,2.2,0.7,,,,,,,,,,,,0,,35,32.3
Cape Verde,CPV,AF,2018,49.23,68.04,17.8,124.85,,0.45,0.32,0.77,-0.24,1,0.85,57,1,1,3.8,2.4,3,3.2,3.7,8.4,3740,4.53,0.38,0,,,42,43,65,68,60,5.36,,,,56.29,57.75,0.54,0.651,3740,68,5.5,5.5,6.8,8.4,,,,,,,,,,,,0,,,
Central African Republic,CAF,AF,2018,18.88,46.98,14.2,50.03,8.64,-1.69,-1.72,-1.23,-1.37,-1.19,-2.17,26,7,7,,,,,9.4,9.5,379.37,3.82,9.07,0,,,18,25,27,57,49,10.99,,,,37.9,30.95,1.43,0.381,379.37,111.1,9.7,8.8,9.8,9.5,,,,,,,,,,,,7.55,,,
Chad,TCD,AF,2018,36.19,38.01,3.6,49.06,,-1.3,-1.53,-1.41,-1.11,-1.45,-1.47,19,7,6,2.2,2,2.3,2.8,8.8,8,812.02,2.3,23.95,20.15,,,25,23,29,52,49,4.1,47.7,42.3,,41.43,31.58,2.34,0.401,812.02,108.3,9.5,9,9.3,8,,,,,,,,,,,,0.02,47.7,11.7,36.1
Chile,CHL,SA,2018,28.59,28.77,14.51,25.6,18.22,1.09,1.08,1.05,1.34,1.06,0.44,67,1,1,5.2,3,4.8,4.9,3.1,1.8,15111.7,3.72,12,0.01,0.02,37.8,68,61,72,89,75,9.14,38.6,,,76.08,66.66,1.86,0.847,15111.7,40.7,2.2,3.5,5.4,1.8,,,,,,,,,,,,0.34,38.6,5.7,29.4
China,CHN,AS,2018,19.11,18.34,16.54,53.84,9.05,-0.2,0.48,-0.27,-0.19,-1.45,-0.29,39,7,6,4.6,4.5,4.5,4.6,8.5,2.4,7807.06,6.73,1.58,0.43,0.17,53.1,47,47,55,73,58,5.35,51.1,1.7,,64.28,44.95,1.9,0.758,7807.06,72.4,7.2,4.1,7,2.4,,,,,,,,,,,,2.71,51.1,27.8,40
Colombia,COL,SA,2018,15.89,20.67,15.4,51.41,14.82,-0.41,-0.09,-0.29,0.32,0.19,-0.79,36,3,3,3.3,1.8,4,4.4,6.7,5.7,7694.43,2.56,5.51,3.96,0.18,33.8,61,33,79,82,69,7.64,,27,39.7,63.66,48.93,3.07,0.761,7694.43,76.6,7.6,4.5,7.3,5.7,,,,,,,,,,,,0,,,
Comoros,COM,AF,2018,13.25,29.85,10.32,18.58,,-1.08,-1.64,-0.82,-1.11,-0.48,-0.34,27,3,4,,,,,6,7.7,1402.74,3.64,1.39,0,,,37,28,58,75,56,4.59,48.4,,,40.42,34.96,,0.538,1402.74,82.6,8,7.9,7.2,7.7,,,,,,,,,,,,0,48.4,21.7,36.8
Costa Rica,CRC,NA,2018,33.48,33.22,16.9,65.79,13.59,0.48,0.38,0.55,0.49,1.14,0.48,56,1,1,2.7,2.2,3.5,4.5,1.6,4.2,9936.58,2.06,0.82,0,0,35.7,55,52,68,85,66,7.56,31.1,21.1,36.3,71.49,63.94,0,0.794,9936.58,43.2,3.8,4.3,5,4.2,,,,,,,,,,,,0.19,31.1,19.5,23.2
Croatia,HRV,EU,2018,50.2,51.05,19.51,74.3,21.83,0.32,0.46,0.13,0.54,0.5,0.81,48,1,2,5.5,2.7,4.5,4.6,3.3,4.3,15971.15,2.81,0.8,0.34,0.21,40.7,66,41,59,87,61,6.83,34,18.3,,81.19,74.84,1.59,0.837,15971.15,48.7,4.4,5.6,3,4.3,,,,,,,,,,,,0,34,16.1,27.5
Cuba,CUB,NA,2018,,,,,,-0.44,-0.24,0.17,,-1.44,0.66,47,7,6,,,,,7.2,4.8,,,,,,,30,38,20,65,32,,25.9,,,62.12,,2.88,0.778,,62.9,7,4,5.1,4.8,,,,,,,,,,,,0.01,25.9,9.7,22.1
Cyprus,CYP,EU,2018,75.23,73.68,14.69,99.2,24.32,0.75,0.92,0.64,0.87,1.04,0.5,59,1,1,5.2,2,4.2,5.1,3,8.7,31506.92,5.24,0.01,0,0,47.8,71,41,77,87,68,6.77,,14.7,,83.06,85.77,1.78,0.873,31506.92,60.3,7.9,5.7,5.6,8.7,,,,,,,,,,,,0.4,,,
Czechia,CZE,EU,2018,76.97,71.03,19.39,32.06,14.84,1.05,0.92,0.5,1.28,0.93,1.04,59,1,1,3.9,4.7,3.5,5.2,2.2,2.4,23800.97,3.2,0.16,0.01,0.01,48.7,73,51,73,87,74,7.65,28.2,10.1,,84.88,82.69,1.11,0.891,23800.97,39,5.3,4.3,2.4,2.4,,,,,,,,,,,,0.39,28.2,11.9,23.8
Democratic Republic of the Congo,COD,AF,2018,34.34,37.95,6.42,15.3,,-1.78,-1.55,-1.5,-1.47,-1.5,-2.11,20,7,6,2.1,2.1,2.7,2.9,9.8,9.7,418.99,5.82,25.52,0.63,0,,24,27,60,65,52,3.3,,,,44.54,33.69,0.6,0.459,418.99,110.7,9.8,8.1,8.5,9.7,,,,,,,,,,,,0,,,
Denmark,DNK,EU,2018,56.29,50.42,24.26,33.9,32.17,1.83,1.87,2.15,1.64,1.61,0.95,88,1,1,5.5,4.3,5.7,5.8,1.2,0.7,64271.88,2.18,0.62,0.48,0.13,58.4,85,84,93,87,77,10.07,,12.5,,87.96,84.35,1.29,0.93,64271.88,19.8,1.4,1.7,1.3,0.7,,,,,,,,,,,,0,,,
Djibouti,DJI,AF,2018,149.18,139.04,20.65,46.51,,-0.92,-0.9,-0.72,-0.7,-1.35,-0.13,31,6,5,,,,,7.7,8.7,,8.5,0.26,0,,,19,29,52,55,45,2.32,45.2,,,57.02,66.71,,0.495,,87.1,7.3,6.7,7.9,8.7,,,,,,,,,,,,0,45.2,,34.9
Dominica,DMA,NA,2018,29.55,78.58,,74.46,,0.67,-0.29,0.55,0.08,0.82,1.1,57,1,1,,,,,,,6696.54,0.53,0.03,0,,,49,50,72,63,65,6.59,46,,,54.08,56.8,,0.745,6696.54,,,,,,,,,,,,,,,,,4.33,46,23.3,34.9
Dominican Republic,DOM,NA,2018,23.55,28.5,10.86,47.9,13.02,-0.38,-0.4,-0.76,-0.07,0.14,0.03,30,3,3,4.4,3.2,4.6,4.7,5.6,5.1,7697.72,6.98,1.45,0,0,29.3,52,26,53,72,62,5.73,31.8,22.8,35.2,65.31,51.49,0.73,,7697.72,69.2,6.2,5.2,5.6,5.1,,,,,,,,,,,,2.96,31.8,27.8,27.8
Ecuador,ECU,SA,2018,22.6,23.76,14.72,45.2,,-0.64,-0.26,-0.57,-0.87,0.02,-0.08,34,3,3,5,2.4,4.4,4.7,4.5,6,5180.6,1.29,7.71,7.25,0.02,26.8,37,30,56,69,49,8.14,40.6,23.2,34.4,60.05,39.02,2.35,0.758,5180.6,74.2,8.2,6,6.7,6,,,,,,,,,,,,0,40.6,34.9,31.8
Egypt,EGY,AF,2018,18.91,29.37,8.35,92.48,,-0.41,-0.58,-0.57,-0.86,-1.31,-1.17,35,6,6,4.5,3.6,4.6,5.1,9.9,7.6,2908.58,5.31,6.91,5.28,1.2,27.2,33,32,72,71,53,4.95,,,,68.34,51.02,1.25,0.7,2908.58,88.7,8.8,7.9,5.7,7.6,,,,,,,,,,,,13.47,,,
El Salvador,SLV,NA,2018,28.78,48.39,15.92,72.65,18.06,-0.83,-0.45,-0.6,0.04,0.04,-0.38,35,2,3,4,1.8,3.1,4.1,6,5.6,3507.06,2.43,0.6,0,0,25.1,37,25,58,86,63,7.11,32.7,26.3,29.4,65.04,57.83,1.14,0.667,3507.06,71.2,4.3,5.3,6.1,5.6,,,,,,,,,,,,0.28,32.7,21.7,24.4
Equatorial Guinea,GNQ,AF,2018,58.81,45.7,22.97,40.15,6.08,-1.41,-1.29,-1.56,-1.54,-1.86,-0.08,16,7,7,,,,,8.9,4.7,10134.63,-6.36,33.73,25.13,7.07,,30,26,46,54,42,3,39.1,,,46.11,63.63,1.07,0.588,10134.63,83.4,8.2,6.2,8.4,4.7,,,,,,,,,,,,0,39.1,23.5,28.5
Eritrea,ERI,AF,2018,,,,185.61,,-1.59,-1.73,-1.32,-2.21,-2.17,-0.6,24,7,7,,,,,8.7,7.4,,13.03,,,,,36,23,57,69,42,4.09,,,,30.99,38.19,,0.434,,97.2,8.1,7.8,8.1,7.4,,,,,,,,,,,,0.02,,,
Estonia,EST,EU,2018,74.12,71.54,19.67,8.2,20.95,1.24,1.19,1.51,1.55,1.21,0.59,73,1,1,4.7,4.7,5.6,4.6,1.9,4,19932.86,4.36,1.21,0.35,0,50.5,80,76,76,87,79,6.69,,21.7,,82.91,85.62,1.97,0.882,19932.86,43,5.9,3.4,2.9,4,,,,,,,,,,,,0,,,
